"","ind","mktD","income","sq.income","age","child"
"1",1,1,0.495123493743325,8.33130418054863,-0.230109009129771,-0.230851063829787
"2",2,1,0.378762229892512,6.12186468484258,-2.53269410212382,0.769148936170213
"3",3,1,0.105014607698024,1.03080251528698,-0.00696545781556157,-0.230851063829787
"4",4,1,-1.48548092883267,-25.5836046548973,-0.827946009885391,0.769148936170213
"5",5,1,-0.316596897194435,-6.51700882424238,-0.230109009129771,-0.230851063829787
"6",6,1,-0.337276239389642,-6.878070117118,0.851696161221958,-0.230851063829787
"7",7,1,-0.014558328875788,-1.14594248491267,0.141454547302712,-0.230851063829787
"8",8,1,0.304661687394914,4.7289748539672,0.300519241932399,-0.230851063829787
"9",9,1,-0.328573421734381,-6.72622315956298,-0.335469524787598,-0.230851063829787
"10",10,1,1.00512112883036,18.3344573131028,0.665979015426864,-0.230851063829787
"11",11,1,1.11720860403612,20.6026820820436,0.300519241932399,-0.230851063829787
"12",12,1,-0.574824061225254,-10.9643135349872,0.239894620115964,-0.230851063829787
"13",13,1,1.53667236846947,29.3140019562045,0.03225525533772,-0.230851063829787
"14",14,1,-0.177527819219046,-4.06664680425081,0.270666278782718,-0.230851063829787
"15",15,1,0.0943082539193991,0.834734971426769,-0.740934632895762,0.769148936170213
"16",16,1,-1.66870156751301,-28.3245285348455,-1.27993113362845,0.769148936170213
"17",17,1,-0.397813170411805,-7.93012828486353,-0.740934632895762,0.769148936170213
"18",18,1,0.31522721937079,4.92690700469966,0.141454547302712,-0.230851063829787
"19",19,1,1.39145822193863,26.2584054971441,0.141454547302712,-0.230851063829787
"20",20,1,0.207838538608698,2.92551083685066,0.885032581489549,-0.230851063829787
"21",1,2,0.0538911319215831,0.0966346010653325,0.141454547302712,-0.230851063829787
"22",2,2,-1.50308326007158,-25.8498453344841,-0.181318844960339,-0.230851063829787
"23",3,2,0.621791655781619,10.7672326534423,-1.27993113362845,0.769148936170213
"24",4,2,0.269229006928809,4.06681732696374,-0.453252560443981,-0.230851063829787
"25",5,2,0.373833803583681,6.02888268703816,-0.281402303517322,-0.230851063829787
"26",6,2,0.456933424575487,7.6031750333597,0.239894620115964,-0.230851063829787
"27",7,2,0.459811981403305,7.65795574726111,-1.61640337024966,0.769148936170213
"28",8,2,-0.0114283308851615,-1.08932743989313,0.463038171430174,-0.230851063829787
"29",9,2,-0.496342612508313,-9.62677732465959,0.270666278782718,-0.230851063829787
"30",10,2,0.545326142326886,9.29290186250913,-0.392627938627546,-0.230851063829787
"31",11,2,0.0838364381306551,0.643184341386871,0.645359728224129,-0.230851063829787
"32",12,2,-4.93818215726548,-65.9464036082399,-2.53269410212382,0.769148936170213
"33",13,2,0.459811981403305,7.65795574726111,0.558348351234499,-0.230851063829787
"34",14,2,0.456933424575487,7.6031750333597,-2.12722899401565,0.769148936170213
"35",15,2,0.281241543556693,4.29102342644595,-0.0903470667546125,-0.230851063829787
"36",16,2,-0.667761464445066,-12.5322870963094,-3.22584128268376,0.769148936170213
"37",17,2,-4.38548666114464,-61.0880978556587,1.0226539593656,-0.230851063829787
"38",18,2,-0.755868830657832,-14.0028203414172,0.141454547302712,-0.230851063829787
"39",19,2,-0.585992672074394,-11.1536556128567,0.963813459342663,-0.230851063829787
"40",20,2,-0.0329074149709871,-1.47744453020273,-0.00696545781556157,-0.230851063829787
"41",1,3,0.624597878068075,10.8215618510542,-0.181318844960339,-0.230851063829787
"42",2,3,-0.224269846258073,-4.8945450654444,-0.586783953068504,0.769148936170213
"43",3,3,-0.284616871193418,-5.95695355609507,0.208145921801384,-0.230851063829787
"44",4,3,0.678459434877039,11.8673878965996,-0.453252560443981,-0.230851063829787
"45",5,3,0.746832277193528,13.2033360615402,1.07822381052041,-0.230851063829787
"46",6,3,0.840229571187399,15.0433499795885,0.885032581489549,-0.230851063829787
"47",7,3,1.03413461980975,18.9191699055609,0.511828335599606,-0.230851063829787
"48",8,3,0.103780275292946,1.00818625370729,0.385076629960462,-0.230851063829787
"49",9,3,0.561306468195763,9.60005179082547,-2.53269410212382,0.769148936170213
"50",10,3,1.21660738133233,22.6351572742601,0.851696161221958,-0.230851063829787
"51",11,3,0.193288286752617,2.65611293966487,0.799510408051388,-0.230851063829787
"52",12,3,0.962022544314589,17.46899395851,0.106363227491442,-0.230851063829787
"53",13,3,0.510828395332942,8.6315791343913,-0.00696545781556157,-0.230851063829787
"54",14,3,-0.342300358095043,-6.96566208716642,-0.923256189689716,0.769148936170213
"55",15,3,0.296452174290305,4.57533393162765,1.05082483633229,-0.230851063829787
"56",16,3,0.308638995587332,4.80345859161763,-0.827946009885391,0.769148936170213
"57",17,3,0.549387966045344,9.37092375348648,0.868503279538338,-0.230851063829787
"58",18,3,0.698373378242765,12.2555246899962,0.208145921801384,-0.230851063829787
"59",19,3,-0.672449895282423,-12.610929244485,0.511828335599606,-0.230851063829787
"60",20,3,-0.329506882815423,-6.74251746182398,1.07822381052041,-0.230851063829787
"61",1,4,0.944198505397534,17.1121550394458,0.74445063086836,-0.230851063829787
"62",2,4,0.405635895193866,6.62973047310442,0.141454547302712,-0.230851063829787
"63",3,4,0.58599226811749,10.0755291998513,0.645359728224129,-0.230851063829787
"64",4,4,0.0181305079915912,-0.553704305077702,0.834601727862657,-0.230851063829787
"65",5,4,-0.311830844355304,-6.43367227261039,-1.27993113362845,0.769148936170213
"66",6,4,0.730509148609439,12.8835461643692,0.763142763880512,-0.230851063829787
"67",7,4,-0.425883768168791,-8.41547383640179,-1.61640337024966,0.769148936170213
"68",8,4,0.0282731019242881,-0.36951200305063,-0.281402303517322,-0.230851063829787
